,title,price,link
0,"ASUS Zenbook 14, AMD Ryzen AI 5 340, AI PC(AMD Radeon Graphics/16GB RAM/512GB SSD/3K OLED/14/120Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jade Black/1.2 Kg) UM3406KA-PP240WS","93,990",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA2MjMwMTQzMTk5MzI6OjA6Og&url=%2FASUS-Zenbook-Graphics-Windows-UM3406KA-PP240WS%2Fdp%2FB0F9YG6D4C%2Fref%3Dmp_s_a_1_1_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-1-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&sp_cr=DUB
1,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 16"" (40.6cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg), 83BG000PIN","57,790",/sspa/click?ie=UTF8&spc=MToxMDA2MDQyOTY2NzQxMDIwOjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX3RoZW1hdGljOjMwMDYxOTQ4NTMyMTczMjo6NDo6&url=%2FLenovo-IdeaPad-12450H-Backlit-83BG000PIN%2Fdp%2FB0CFF42RJ6%2Fref%3Dsxin_22_pa_sp_phone_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.aa6ac532-0ea5-4c58-b985-e3c226504699%253Aamzn1.sym.aa6ac532-0ea5-4c58-b985-e3c226504699%26crid%3D23Z9HPBL2JMRH%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CFF42RJ6%26pd_rd_r%3D903e4b27-a6c6-417f-85a2-277f6a4a6a43%26pd_rd_w%3DsisRL%26pd_rd_wg%3DLHosV%26pf_rd_p%3Daa6ac532-0ea5-4c58-b985-e3c226504699%26pf_rd_r%3D8N8T1TAS2WT6Q6VSQ3VA%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&sp_cr=DUB
2,"Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey","64,990",/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=mp_s_a_1_6?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-6&xpid=yyORC7MGEp591
3,"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","23,990",/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=mp_s_a_1_7?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-7&xpid=yyORC7MGEp591
4,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","64,990",/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=mp_s_a_1_8?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-8&xpid=yyORC7MGEp591
5,"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","15,990",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA2MTkxOTMxNDM1MzI6OjA6Og&url=%2FLenovo-SmartChoice-Chromebook-Speakers-82UY0014HA%2Fdp%2FB0F2TMZJ24%2Fref%3Dmp_s_a_1_9_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-9-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&sp_cr=DUB
6,"ASUS Vivobook S16,13th Gen,Intel Core i7-13620H,Metallic Design Laptop(Intel UHD iGPU/16GB RAM/512GB SSD/FHD+/16""/144Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Cool Silver/1.7Kg)S3607VA-RP083WS","71,990",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA2MTkzOTg1MzgyMzI6OjA6Og&url=%2FASUS-Vivobook-i7-13620H-Metallic-S3607VA-RP083WS%2Fdp%2FB0F9YGYJV1%2Fref%3Dmp_s_a_1_10_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-10-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&sp_cr=DUB
7,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","47,390",/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=mp_s_a_1_11?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-11&xpid=yyORC7MGEp591
8,"Okami ZenPack LUXE Laptop Messenger Bag X Briefcase for Macbook & Laptops Upto 15.6"" with USB Fast-Charging and RFID Safe Advanced Organiser | Premium Office Bag for Men (Black)","3,649",https://aax-eu.amazon.in/x/c/JDaY67nuQWJ_3VvHw4mo6KIAAAGYMS-FSgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICBwvFvi/clv1_CEuOPUxokZA0iHrVfP8v2T_dHVpKVPw5i8cJ2T2D9eRyx39A9iG5Fv018HHz9hvVjq0yzpNb3X7OfU1UAmcAIVBhLTycS-DCFQcBWRF_Z1qoHoF7skfB8IkGXCRTU-W6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3xU_LeksSii7J1-ZjAz9B7yl_bPrUYAZJ0SW56eH2BSUezTHMpOowc0c2txKf9vZypjnHPmxM-pz1ehzDycAvo8C-9FHE6Fj0W5fDGi7yyi7oLY4VF6ZYyR9qmqAwUQnhinFOJGQaFdhRZzXuNdUWekbGEVr5yp2N7x1hxpbFTt6_ZtQIVQjGYWURtXE4M2WYj0fYwqXp5k5RHmyoBqWXwRyXIlzu-6HH3FT4s6H-wHLa21DI5WXvtFS_CF8CoIymgGwjQSZ6zz9CBRvUEkOcgmDU2TPNZf2bSaWBD9t80ENAnfyX2DZEaVnuuFlcRCdkrZwltwGIyffMSBcrRFM49kMurj5gHo1hoWBxbIZR1XV_iKvQvOINUlneNcPMzxyyep3CK0Tnm89pYDmMBZaRltdiflQj6spBE4QQwO8s20w-hbxbuZ-_j8x5l1X1fo4ye0GDlGjN34hpYbYE_rE8ZiaAV8mGyfBshXDbPdr8BJm-NIGG4Cpvf5vKwPIpG7x7xLCM3TuASh2rzfNL3VYn-NgSMUsZBWi21ogFNBtg2Bls6eKUmO6cPi6TAh4gwHLv9NeX-FWp7CDnHMytveGL76Xr9Gkikiz-TzB7lMUzgns0G-7mmbKo9kGq9oEngDBDssBd7QNM86qxMK_0AhnMyIzMjiRtifj0WlEJkx7RnA0AzLI9mWUpw3kRuvmvYeHiOPp4TC4aq9ta8KDVePs1WWAcBNWLeAIYg1PYWpbeYWP0jz9PXoWICOExbl1gSs0UaYaybf66RhFlSl6Kvy9nVxh_INftCllbGi0aNHxPzHeYqF8JMVjaU-7S5rsCDkBLLmzWMCAlcLAXxKFlJhwW-IaCDhJOY2eKnaSXNxyrQMeDYWvuvXMvucDe9PAgjkBJe9BpAcGanx8XMbpOGjRPY0TgL3Cq76y10eT6Suu0bMr1iRVYMsKF1CqCHjs0UOEZSEzln_ZIvOz8vNhmalAxQS107EdcFjTEEY-R3uKykOc0CAvC7zzIo06oP6QZkj5FL1SYZ8Ro2oPwpEktb-14SCtpmCVZ8rZYetKTP-GyPYCrgOTroEzTrQ-Wim7x2LNmvwaDXY80J707fsh539obJxbBdkPs6AQh262A2izsNOzDU-vL4tROD6OZVqKWBmnfBE9V5uxT4WvgBPxDVVH9YdR9czp-lZpTVFL94IDHLcTNQTWFRqrqAQTNxz2r4u2uyXNJhr0cQXq5DrsU88Ly6Jw9e8Y7ksmkEDDJX26AHFc24g_udCO1FDhdBRvaPJYEIPsX_9iIA32mOzDHkKwYVLaJv0HseCQ6syd5KCMUb0xFd5YtOhdJ9f7E0LG05-nda3eeXoTVnVl_Nbz9p0j8bPX-FT9y9eXNlXib1bxoikP421NZpyNWQrREUHrw7E5aXuBqiZL_IYvGA_WX1YWFYhvlsgNDPr3D9wolLHvekIG0M7inqe3iOh1Q_enkylzp2i9t7oGIBe2yihkryaWqblMPw2LwlSA2vjW--URXZMFxFzKBNwShbYR7Qm7oY0lIslbRK955G8OMvLZw2Hqetj3GTP3tbaeKMaJx5lo0u0vffGYhvtful98UdxZMrY0p-TGCkecOYy0s7FoWNiodPFQWkRrqBc1zInmBbfvnHkge5XcxPUCu9Hwfih7m8OS6zRuEC3uL_OdxiBhpPlON2BfEm-vOOGkonwSDEYLj3-FjXUmkt3BATGKAO-VwVoLoV_uSdjdI1qa3JoFcjjDFuJ7eFmIXeT9fjoUacDmBtjUghjnsmo2W9V9Tx9cW4MQ1Rtrh-jYudLngfQof8WiBP0-fJ8lBeMek5hBaVcXJPI5wmlhQNne0Fg2VFZmFMXifUakKQC5H1VtOIm60NXcEJlq4QwsDfyv2LUDnFmrB9MdjrM6iGO8XBAxrR1yDi9irnnORWsDGrixHVlJK9rcQkmwzg9I/https://www.amazon.in/Okami-Wolf-unisex-adult-Messenger-Protection/dp/B0B7521SSD/ref=sxin_30_sbv_search_btf?content-id=amzn1.sym.9310d8c5-a73c-4e49-85e1-42dbfc4228ab%3Aamzn1.sym.9310d8c5-a73c-4e49-85e1-42dbfc4228ab&crid=23Z9HPBL2JMRH&cv_ct_cx=laptop&keywords=laptop&pd_rd_i=B0B7521SSD&pd_rd_r=903e4b27-a6c6-417f-85a2-277f6a4a6a43&pd_rd_w=10f7c&pd_rd_wg=LHosV&pf_rd_p=9310d8c5-a73c-4e49-85e1-42dbfc4228ab&pf_rd_r=8N8T1TAS2WT6Q6VSQ3VA&qid=1753171854&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C660&sr=1-1-1c478570-4379-4ea8-a792-2a17f33dfdd3&xpid=yyORC7MGEp591
9,"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop","31,990",/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=mp_s_a_1_12?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-12&xpid=yyORC7MGEp591
10,"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight","77,990",/2022-Apple-MacBook-Laptop-chip/dp/B0DLHFM2XL/ref=mp_s_a_1_13?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-13&xpid=yyORC7MGEp591
11,"Lenovo IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot+ AI PC(24GB RAM/1TB SSD/14(35.5cm) WUXGA OLED/AI Now/50TOPS/Win 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.4Kg), 83HX001NIN AI Laptop","86,990",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA1Njk3MzQ4Nzg1MzI6OjA6Og&url=%2FLenovo-IdeaPad-Copilot-Keyboard-83HX001NIN%2Fdp%2FB0F4XHB911%2Fref%3Dmp_s_a_1_2_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-2-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&sp_cr=DUB
12,"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","45,990",/Lenovo-i7-1255U-4-70Ghz-Windows-Warranty/dp/B0F32ZBDNJ/ref=mp_s_a_1_14?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-14&xpid=yyORC7MGEp591
13,"ASUS Vivobook 15,13th Gen,Intel Core i7-13620H(Intel UHD iGPU/16GB RAM/512GB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ838WS","61,990",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA2MTk1MDkzMTk3MzI6OjA6Og&url=%2FASUS-Vivobook-i7-13620H-Keyboard-X1502VA-BQ838WS%2Fdp%2FB0DYDZQYKP%2Fref%3Dmp_s_a_1_15_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-15-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&sp_cr=DUB
14,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port","54,399",/sspa/click?ie=UTF8&spc=MTo3NDY5MjgzNzIyMDg5NTM2OjE3NTMxNzE4NTQ6c3BfcGhvbmVfc2VhcmNoX210ZjozMDA2MjIxOTM5OTc3MzI6OjA6Og&url=%2FSamsung-Processor-Windows-Fingerprint-Graphics%2Fdp%2FB0D143SJ9R%2Fref%3Dmp_s_a_1_16_sspa%3Fcrid%3D23Z9HPBL2JMRH%26dib%3DeyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1753171854%26sprefix%3D%252Caps%252C660%26sr%3D8-16-spons%26xpid%3DyyORC7MGEp591%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfbXRm%26psc%3D1&sp_cr=DUB
15,HP 255 G10 ‎‎Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,"22,390",/HP-%E2%80%8E%E2%80%8ELaptop-Athlon-Silver-Windows/dp/B0DV984J97/ref=mp_s_a_1_17?crid=23Z9HPBL2JMRH&dib=eyJ2IjoiMSJ9._h7lA9_Q3AkyAbh1_iH9ARV4FIYMB8k-fNtiNnWoERXAcRho8iDK0lBGge-1OTvtItQacEW25nHUuuocbaBZV0G2jURfq-_y-LfKh4VkkZKtPWJsf4FaaEq0k13DsRdqiKVWoTqPuYNAdPuO_gmiMitLlmpXsygVA9-5u7UDSrXNl6Tw-zwwbdjM8otDGaX85NddYJ4o3nhYaMpWQ-ZyNw.b50oI9o8NAbjth6mptfp1LrgYHZoqSVqH0wUQh9mpKI&dib_tag=se&keywords=laptop&qid=1753171854&sprefix=%2Caps%2C660&sr=8-17&xpid=yyORC7MGEp591
